Index,T1,T2,T3,T4,T5,T6,T7
13,0,0,0,63,63,84,0
12,0,0,0,63,147,0,0
4,0,9,54,72,21,36,18
25,18,0,54,0,21,117,0
27,18,0,108,0,21,63,0
14,21,0,126,0,21,42,0
24,24,0,90,0,21,75,0
16,27,0,108,0,21,54,0
2,33,24,24,72,21,36,0
1,35,32,22,64,21,36,0
15,39,0,72,0,21,78,0
3,41,32,24,56,21,36,0
9,45,0,36,72,21,36,0
26,45,0,54,0,21,90,0
6,45,0,108,0,21,36,0
17,45,24,28,56,21,36,0
19,45,24,28,56,21,36,0
7,51,0,90,0,21,48,0
10,51,24,30,48,21,36,0
11,51,24,30,48,21,36,0
18,51,24,30,48,21,36,0
8,53,32,28,40,21,36,0
5,63,0,0,0,21,126,0
22,63,0,0,0,21,126,0
23,63,0,0,0,21,126,0
21,69,24,36,24,21,36,0
20,99,0,54,0,21,36,0
